# r[Mpc/h]   xi_quantum(r)
82.7538   1.22973
83.003   1.21
83.2523   1.19054
83.5015   1.17138
83.7508   1.15249
84   1.13388
84.2492   1.11554
84.4985   1.09746
84.7477   1.07965
84.997   1.0621
85.2462   1.0448
85.4955   1.02775
85.7447   1.01094
85.994   0.994384
86.2432   0.978064
86.4925   0.96198
86.7417   0.946127
86.991   0.930501
87.2402   0.915101
87.4895   0.899922
87.7387   0.884963
87.988   0.870219
88.2372   0.855684
88.4865   0.841359
88.7357   0.827239
88.985   0.813323
89.2342   0.799606
89.4835   0.786082
89.7327   0.772753
89.982   0.759615
90.2312   0.746665
90.4805   0.733901
90.7297   0.721316
90.979   0.708911
91.2282   0.696683
91.4775   0.68463
91.7267   0.67275
91.976   0.661036
92.2252   0.649488
92.4745   0.638106
92.7237   0.626886
92.973   0.615825
93.2222   0.604919
93.4715   0.594169
93.7207   0.583571
93.97   0.573124
94.2192   0.562825
94.4685   0.552671
94.7177   0.54266
94.967   0.532791
95.2162   0.523062
95.4655   0.513472
95.7147   0.504015
95.964   0.494691
96.2132   0.4855
96.4625   0.476439
96.7117   0.467507
96.961   0.458699
97.2102   0.450015
97.4595   0.441454
97.7087   0.433013
97.958   0.424693
98.2072   0.416488
98.4565   0.408399
98.7057   0.400424
98.955   0.392562
99.2042   0.384811
99.4535   0.377168
99.7027   0.369632
99.952   0.362203
100.201   0.354878
100.45   0.347657
100.7   0.340537
100.949   0.333516
101.198   0.326594
101.447   0.31977
101.697   0.313043
101.946   0.306409
102.195   0.299868
102.444   0.29342
102.694   0.287062
102.943   0.280795
103.192   0.274614
103.441   0.26852
103.691   0.262513
103.94   0.256589
104.189   0.25075
104.438   0.244993
104.688   0.239315
104.937   0.233718
105.186   0.2282
105.435   0.22276
105.685   0.217397
105.934   0.212107
106.183   0.206894
106.432   0.201753
106.682   0.196686
106.931   0.191689
107.18   0.186762
107.429   0.181906
107.679   0.177118
107.928   0.172398
108.177   0.167744
108.426   0.163155
108.676   0.158631
108.925   0.154172
109.174   0.149776
109.423   0.145442
109.673   0.141168
109.922   0.136956
110.171   0.132803
110.42   0.12871
110.67   0.124674
110.919   0.120695
111.168   0.116773
111.417   0.112906
111.667   0.109096
111.916   0.105339
112.165   0.101634
112.414   0.0979833
112.664   0.0943843
112.913   0.0908371
113.162   0.0873404
113.411   0.0838927
113.661   0.0804949
113.91   0.0771457
114.159   0.0738449
114.408   0.0705913
114.658   0.0673835
114.907   0.0642222
115.156   0.0611064
115.405   0.0580358
115.655   0.0550093
115.904   0.0520256
116.153   0.0490854
116.402   0.0461876
116.652   0.0433321
116.901   0.040518
117.15   0.0377437
117.399   0.0350101
117.649   0.0323162
117.898   0.0296617
118.147   0.027046
118.396   0.0244676
118.646   0.0219271
118.895   0.0194238
119.144   0.0169573
119.393   0.0145272
119.643   0.0121318
119.892   0.00977185
120.141   0.00744676
120.39   0.00515609
120.64   0.00289946
120.889   0.000675276
121.138   -0.00151574
121.387   -0.00367416
121.637   -0.00580041
121.886   -0.00789477
122.135   -0.00995879
122.384   -0.0119918
122.634   -0.0139943
122.883   -0.0159668
123.132   -0.0179094
123.381   -0.0198236
123.631   -0.0217088
123.88   -0.0235654
124.129   -0.025394
124.378   -0.0271945
124.628   -0.0289686
124.877   -0.0307155
125.126   -0.0324357
125.375   -0.0341296
125.625   -0.0357973
125.874   -0.0374401
126.123   -0.0390577
126.372   -0.0406501
126.622   -0.042218
126.871   -0.0437613
127.12   -0.0452814
127.369   -0.0467778
127.619   -0.0482508
127.868   -0.0497007
128.117   -0.0511276
128.366   -0.0525328
128.616   -0.0539159
128.865   -0.0552769
129.114   -0.0566165
129.363   -0.0579345
129.613   -0.0592321
129.862   -0.0605091
130.111   -0.0617654
130.36   -0.0630016
