# k[h/Mpc]  delta_P  P_classical  P_quantum
0.00131229  50479.4  7.53469e+06  7.58517e+06
0.00131531  50582  7.55006e+06  7.60065e+06
0.00131835  50684.9  7.56547e+06  7.61615e+06
0.00132139  50787.8  7.5809e+06  7.63168e+06
0.00132443  50891  7.59635e+06  7.64724e+06
0.00132749  50994.4  7.61183e+06  7.66283e+06
0.00133055  51097.9  7.62734e+06  7.67844e+06
0.00133362  51201.6  7.64288e+06  7.69408e+06
0.00133669  51305.4  7.65844e+06  7.70975e+06
0.00133977  51409.5  7.67403e+06  7.72544e+06
0.00134286  51513.7  7.68965e+06  7.74116e+06
0.00134596  51618.1  7.70529e+06  7.75691e+06
0.00134906  51722.7  7.72096e+06  7.77268e+06
0.00135217  51827.4  7.73666e+06  7.78848e+06
0.00135529  51932.3  7.75238e+06  7.80431e+06
0.00135842  52037.4  7.76813e+06  7.82017e+06
0.00136155  52142.7  7.78391e+06  7.83605e+06
0.00136469  52248.2  7.79971e+06  7.85196e+06
0.00136784  52353.8  7.81554e+06  7.8679e+06
0.00137099  52459.6  7.8314e+06  7.88386e+06
0.00137415  52565.6  7.84729e+06  7.89985e+06
0.00137732  52671.7  7.8632e+06  7.91587e+06
0.0013805  52778.1  7.87914e+06  7.93191e+06
0.00138368  52884.6  7.8951e+06  7.94799e+06
0.00138687  52991.3  7.9111e+06  7.96409e+06
0.00139007  53098.1  7.92711e+06  7.98021e+06
0.00139327  53205.2  7.94316e+06  7.99637e+06
0.00139648  53312.4  7.95924e+06  8.01255e+06
0.0013997  53419.8  7.97534e+06  8.02876e+06
0.00140293  53527.4  7.99147e+06  8.04499e+06
0.00140617  53635.2  8.00762e+06  8.06126e+06
0.00140941  53743.1  8.0238e+06  8.07755e+06
0.00141266  53851.2  8.04001e+06  8.09386e+06
0.00141592  53959.5  8.05625e+06  8.11021e+06
0.00141918  54068  8.07251e+06  8.12658e+06
0.00142245  54176.6  8.0888e+06  8.14298e+06
0.00142573  54285.4  8.10512e+06  8.15941e+06
0.00142902  54394.4  8.12147e+06  8.17586e+06
0.00143232  54503.6  8.13784e+06  8.19235e+06
0.00143562  54613  8.15424e+06  8.20885e+06
0.00143893  54722.5  8.17067e+06  8.22539e+06
0.00144225  54832.3  8.18712e+06  8.24196e+06
0.00144557  54942.2  8.20361e+06  8.25855e+06
0.00144891  55052.2  8.22012e+06  8.27517e+06
0.00145225  55162.5  8.23665e+06  8.29182e+06
0.0014556  55272.9  8.25322e+06  8.30849e+06
0.00145895  55383.5  8.26981e+06  8.32519e+06
0.00146232  55494.3  8.28643e+06  8.34192e+06
0.00146569  55605.3  8.30307e+06  8.35868e+06
0.00146907  55716.5  8.31975e+06  8.37546e+06
0.00147245  55827.8  8.33645e+06  8.39228e+06
0.00147585  55939.3  8.35318e+06  8.40912e+06
0.00147925  56051  8.36993e+06  8.42599e+06
0.00148266  56162.9  8.38672e+06  8.44288e+06
0.00148608  56274.9  8.40353e+06  8.4598e+06
0.00148951  56387.1  8.42037e+06  8.47676e+06
0.00149294  56499.6  8.43723e+06  8.49373e+06
0.00149639  56612.1  8.45413e+06  8.51074e+06
0.00149984  56724.9  8.47105e+06  8.52777e+06
0.0015033  56837.9  8.488e+06  8.54484e+06
0.00150676  56951  8.50498e+06  8.56193e+06
0.00151024  57064.3  8.52198e+06  8.57904e+06
0.00151372  57177.8  8.53901e+06  8.59619e+06
0.00151721  57291.5  8.55607e+06  8.61336e+06
0.00152071  57405.3  8.57316e+06  8.63056e+06
0.00152421  57519.3  8.59027e+06  8.64779e+06
0.00152773  57633.6  8.60741e+06  8.66505e+06
0.00153125  57747.9  8.62458e+06  8.68233e+06
0.00153478  57862.5  8.64178e+06  8.69965e+06
0.00153832  57977.3  8.65901e+06  8.71699e+06
0.00154187  58092.2  8.67626e+06  8.73435e+06
0.00154542  58207.3  8.69354e+06  8.75175e+06
0.00154899  58322.6  8.71085e+06  8.76917e+06
0.00155256  58438.1  8.72819e+06  8.78662e+06
0.00155614  58553.7  8.74555e+06  8.8041e+06
0.00155973  58669.6  8.76294e+06  8.82161e+06
0.00156332  58785.6  8.78036e+06  8.83915e+06
0.00156693  58901.8  8.79781e+06  8.85671e+06
0.00157054  59018.2  8.81528e+06  8.8743e+06
0.00157416  59134.7  8.83279e+06  8.89192e+06
0.00157779  59251.5  8.85032e+06  8.90957e+06
0.00158143  59368.4  8.86788e+06  8.92724e+06
0.00158508  59485.5  8.88546e+06  8.94495e+06
0.00158873  59602.8  8.90308e+06  8.96268e+06
0.00159239  59720.3  8.92072e+06  8.98044e+06
0.00159607  59837.9  8.93839e+06  8.99823e+06
0.00159975  59955.7  8.95609e+06  9.01604e+06
0.00160343  60073.7  8.97381e+06  9.03389e+06
0.00160713  60191.9  8.99157e+06  9.05176e+06
0.00161084  60310.3  9.00935e+06  9.06966e+06
0.00161455  60428.8  9.02716e+06  9.08758e+06
0.00161827  60547.6  9.04499e+06  9.10554e+06
0.00162201  60666.5  9.06286e+06  9.12352e+06
0.00162575  60785.6  9.08075e+06  9.14154e+06
0.00162949  60904.9  9.09867e+06  9.15958e+06
0.00163325  61024.3  9.11662e+06  9.17764e+06
0.00163702  61144  9.1346e+06  9.19574e+06
0.00164079  61263.8  9.1526e+06  9.21387e+06
0.00164458  61383.8  9.17063e+06  9.23202e+06
0.00164837  61503.9  9.18869e+06  9.2502e+06
0.00165217  61624.3  9.20678e+06  9.26841e+06
0.00165598  61744.9  9.2249e+06  9.28664e+06
0.0016598  61865.6  9.24304e+06  9.30491e+06
0.00166362  61986.5  9.26122e+06  9.3232e+06
0.00166746  62107.6  9.27942e+06  9.34152e+06
0.00167131  62228.8  9.29765e+06  9.35987e+06
0.00167516  62350.3  9.3159e+06  9.37825e+06
0.00167902  62471.9  9.33419e+06  9.39666e+06
0.00168289  62593.7  9.3525e+06  9.41509e+06
0.00168677  62715.7  9.37084e+06  9.43355e+06
0.00169066  62837.9  9.38921e+06  9.45204e+06
0.00169456  62960.2  9.4076e+06  9.47056e+06
0.00169847  63082.8  9.42603e+06  9.48911e+06
0.00170238  63205.5  9.44448e+06  9.50768e+06
0.00170631  63328.4  9.46296e+06  9.52629e+06
0.00171024  63451.5  9.48147e+06  9.54492e+06
0.00171419  63574.7  9.5e+06  9.56358e+06
0.00171814  63698.2  9.51857e+06  9.58227e+06
0.0017221  63821.8  9.53716e+06  9.60098e+06
0.00172607  63945.6  9.55578e+06  9.61973e+06
0.00173005  64069.6  9.57443e+06  9.6385e+06
0.00173404  64193.7  9.59311e+06  9.6573e+06
0.00173804  64318.1  9.61181e+06  9.67613e+06
0.00174205  64442.6  9.63054e+06  9.69498e+06
0.00174607  64567.3  9.6493e+06  9.71387e+06
0.00175009  64692.2  9.66809e+06  9.73278e+06
0.00175413  64817.3  9.68691e+06  9.75172e+06
0.00175817  64942.5  9.70575e+06  9.77069e+06
0.00176223  65067.9  9.72462e+06  9.78969e+06
0.00176629  65193.5  9.74353e+06  9.80872e+06
0.00177036  65319.3  9.76245e+06  9.82777e+06
0.00177444  65445.3  9.78141e+06  9.84686e+06
0.00177854  65571.4  9.80039e+06  9.86597e+06
0.00178264  65697.8  9.81941e+06  9.88511e+06
0.00178675  65824.3  9.83845e+06  9.90427e+06
0.00179087  65951  9.85752e+06  9.92347e+06
0.001795  66077.8  9.87661e+06  9.94269e+06
0.00179914  66204.9  9.89574e+06  9.96194e+06
0.00180328  66332.1  9.91489e+06  9.98122e+06
0.00180744  66459.5  9.93407e+06  1.00005e+07
0.00181161  66587.1  9.95328e+06  1.00199e+07
0.00181579  66714.9  9.97252e+06  1.00392e+07
0.00181997  66842.8  9.99178e+06  1.00586e+07
0.00182417  66970.9  1.00111e+07  1.0078e+07
0.00182838  67099.2  1.00304e+07  1.00975e+07
0.00183259  67227.7  1.00497e+07  1.0117e+07
0.00183682  67356.4  1.00691e+07  1.01365e+07
0.00184105  67485.2  1.00885e+07  1.0156e+07
0.0018453  67614.2  1.0108e+07  1.01756e+07
0.00184955  67743.4  1.01274e+07  1.01952e+07
0.00185382  67872.8  1.01469e+07  1.02148e+07
0.00185809  68002.4  1.01664e+07  1.02344e+07
0.00186238  68132.1  1.0186e+07  1.02541e+07
0.00186667  68262  1.02055e+07  1.02738e+07
0.00187098  68392.1  1.02251e+07  1.02935e+07
0.00187529  68522.4  1.02448e+07  1.03133e+07
0.00187961  68652.8  1.02644e+07  1.03331e+07
0.00188395  68783.5  1.02841e+07  1.03529e+07
0.00188829  68914.3  1.03038e+07  1.03727e+07
0.00189265  69045.2  1.03236e+07  1.03926e+07
0.00189701  69176.4  1.03433e+07  1.04125e+07
0.00190138  69307.7  1.03631e+07  1.04324e+07
0.00190577  69439.3  1.03829e+07  1.04524e+07
0.00191016  69571  1.04028e+07  1.04724e+07
0.00191457  69702.8  1.04227e+07  1.04924e+07
0.00191898  69834.9  1.04426e+07  1.05124e+07
0.00192341  69967.1  1.04625e+07  1.05325e+07
0.00192784  70099.5  1.04825e+07  1.05526e+07
0.00193229  70232.1  1.05025e+07  1.05727e+07
0.00193674  70364.8  1.05225e+07  1.05928e+07
0.00194121  70497.8  1.05425e+07  1.0613e+07
0.00194568  70630.9  1.05626e+07  1.06332e+07
0.00195017  70764.2  1.05827e+07  1.06535e+07
0.00195467  70897.6  1.06028e+07  1.06737e+07
0.00195917  71031.3  1.0623e+07  1.0694e+07
0.00196369  71165.1  1.06432e+07  1.07143e+07
0.00196822  71299.1  1.06634e+07  1.07347e+07
0.00197276  71433.2  1.06836e+07  1.07551e+07
0.00197731  71567.6  1.07039e+07  1.07755e+07
0.00198187  71702.1  1.07242e+07  1.07959e+07
0.00198644  71836.8  1.07445e+07  1.08163e+07
0.00199102  71971.6  1.07649e+07  1.08368e+07
0.00199561  72106.7  1.07852e+07  1.08573e+07
0.00200021  72241.9  1.08056e+07  1.08779e+07
0.00200482  72377.3  1.08261e+07  1.08985e+07
0.00200944  72512.8  1.08465e+07  1.0919e+07
0.00201408  72648.6  1.0867e+07  1.09397e+07
0.00201872  72784.5  1.08875e+07  1.09603e+07
0.00202338  72920.6  1.09081e+07  1.0981e+07
0.00202804  73056.8  1.09287e+07  1.10017e+07
0.00203272  73193.3  1.09492e+07  1.10224e+07
0.0020374  73329.9  1.09699e+07  1.10432e+07
0.0020421  73466.6  1.09905e+07  1.1064e+07
0.00204681  73603.6  1.10112e+07  1.10848e+07
0.00205153  73740.7  1.10319e+07  1.11057e+07
0.00205626  73878  1.10527e+07  1.11265e+07
0.002061  74015.5  1.10734e+07  1.11474e+07
0.00206575  74153.1  1.10942e+07  1.11684e+07
0.00207052  74290.9  1.1115e+07  1.11893e+07
0.00207529  74428.9  1.11359e+07  1.12103e+07
0.00208008  74567.1  1.11567e+07  1.12313e+07
0.00208487  74705.4  1.11776e+07  1.12523e+07
0.00208968  74843.9  1.11986e+07  1.12734e+07
0.0020945  74982.6  1.12195e+07  1.12945e+07
0.00209933  75121.4  1.12405e+07  1.13156e+07
0.00210417  75260.4  1.12615e+07  1.13368e+07
0.00210902  75399.6  1.12825e+07  1.13579e+07
0.00211388  75539  1.13036e+07  1.13791e+07
0.00211876  75678.5  1.13247e+07  1.14004e+07
0.00212364  75818.2  1.13458e+07  1.14216e+07
0.00212854  75958  1.1367e+07  1.14429e+07
0.00213345  76098.1  1.13881e+07  1.14642e+07
0.00213837  76238.3  1.14093e+07  1.14856e+07
0.0021433  76378.6  1.14306e+07  1.15069e+07
0.00214824  76519.2  1.14518e+07  1.15283e+07
0.00215319  76659.9  1.14731e+07  1.15497e+07
0.00215816  76800.7  1.14944e+07  1.15712e+07
0.00216314  76941.8  1.15157e+07  1.15927e+07
0.00216812  77083  1.15371e+07  1.16142e+07
0.00217312  77224.4  1.15585e+07  1.16357e+07
0.00217813  77365.9  1.15799e+07  1.16572e+07
0.00218316  77507.6  1.16013e+07  1.16788e+07
0.00218819  77649.5  1.16228e+07  1.17004e+07
0.00219324  77791.5  1.16443e+07  1.17221e+07
0.00219829  77933.7  1.16658e+07  1.17437e+07
0.00220336  78076.1  1.16874e+07  1.17654e+07
0.00220844  78218.6  1.17089e+07  1.17871e+07
0.00221353  78361.3  1.17305e+07  1.18089e+07
0.00221864  78504.2  1.17522e+07  1.18307e+07
0.00222375  78647.2  1.17738e+07  1.18525e+07
0.00222888  78790.4  1.17955e+07  1.18743e+07
0.00223402  78933.8  1.18172e+07  1.18961e+07
0.00223917  79077.3  1.18389e+07  1.1918e+07
0.00224434  79221  1.18607e+07  1.19399e+07
0.00224951  79364.9  1.18825e+07  1.19618e+07
0.0022547  79508.9  1.19043e+07  1.19838e+07
0.0022599  79653  1.19261e+07  1.20058e+07
0.00226511  79797.4  1.1948e+07  1.20278e+07
0.00227033  79941.9  1.19699e+07  1.20498e+07
0.00227557  80086.5  1.19918e+07  1.20719e+07
0.00228081  80231.4  1.20137e+07  1.2094e+07
0.00228607  80376.4  1.20357e+07  1.21161e+07
0.00229134  80521.5  1.20577e+07  1.21382e+07
0.00229663  80666.8  1.20797e+07  1.21604e+07
0.00230192  80812.3  1.21018e+07  1.21826e+07
0.00230723  80957.9  1.21239e+07  1.22048e+07
0.00231255  81103.7  1.2146e+07  1.22271e+07
0.00231788  81249.6  1.21681e+07  1.22493e+07
0.00232323  81395.7  1.21902e+07  1.22716e+07
0.00232858  81542  1.22124e+07  1.2294e+07
0.00233395  81688.4  1.22346e+07  1.23163e+07
0.00233933  81835  1.22569e+07  1.23387e+07
0.00234473  81981.7  1.22791e+07  1.23611e+07
0.00235013  82128.6  1.23014e+07  1.23835e+07
0.00235555  82275.7  1.23237e+07  1.2406e+07
0.00236099  82422.9  1.2346e+07  1.24285e+07
0.00236643  82570.3  1.23684e+07  1.2451e+07
0.00237189  82717.8  1.23908e+07  1.24735e+07
0.00237735  82865.4  1.24132e+07  1.24961e+07
0.00238284  83013.3  1.24356e+07  1.25186e+07
0.00238833  83161.3  1.24581e+07  1.25412e+07
0.00239384  83309.4  1.24806e+07  1.25639e+07
0.00239936  83457.7  1.25031e+07  1.25865e+07
0.00240489  83606.1  1.25256e+07  1.26092e+07
0.00241044  83754.7  1.25482e+07  1.26319e+07
0.00241599  83903.5  1.25708e+07  1.26547e+07
0.00242156  84052.4  1.25934e+07  1.26774e+07
0.00242715  84201.5  1.2616e+07  1.27002e+07
0.00243274  84350.7  1.26387e+07  1.2723e+07
0.00243835  84500  1.26614e+07  1.27459e+07
0.00244398  84649.5  1.26841e+07  1.27687e+07
0.00244961  84799.2  1.27068e+07  1.27916e+07
0.00245526  84949  1.27296e+07  1.28145e+07
0.00246092  85099  1.27524e+07  1.28375e+07
0.0024666  85249.1  1.27752e+07  1.28605e+07
0.00247228  85399.3  1.2798e+07  1.28834e+07
0.00247798  85549.8  1.28209e+07  1.29065e+07
0.0024837  85700.3  1.28438e+07  1.29295e+07
0.00248942  85851  1.28667e+07  1.29526e+07
0.00249517  86001.9  1.28896e+07  1.29756e+07
0.00250092  86152.9  1.29126e+07  1.29988e+07
0.00250669  86304  1.29356e+07  1.30219e+07
0.00251247  86455.3  1.29586e+07  1.30451e+07
0.00251826  86606.7  1.29816e+07  1.30683e+07
0.00252406  86758.3  1.30047e+07  1.30915e+07
0.00252988  86910.1  1.30278e+07  1.31147e+07
0.00253572  87061.9  1.30509e+07  1.3138e+07
0.00254157  87213.9  1.3074e+07  1.31612e+07
0.00254743  87366.1  1.30972e+07  1.31846e+07
0.0025533  87518.4  1.31204e+07  1.32079e+07
0.00255919  87670.8  1.31436e+07  1.32313e+07
0.00256509  87823.4  1.31668e+07  1.32546e+07
0.002571  87976.2  1.31901e+07  1.3278e+07
0.00257693  88129  1.32133e+07  1.33015e+07
0.00258287  88282  1.32366e+07  1.33249e+07
0.00258883  88435.2  1.326e+07  1.33484e+07
0.0025948  88588.5  1.32833e+07  1.33719e+07
0.00260078  88741.9  1.33067e+07  1.33954e+07
0.00260678  88895.5  1.33301e+07  1.3419e+07
0.00261279  89049.2  1.33535e+07  1.34426e+07
0.00261881  89203  1.3377e+07  1.34662e+07
0.00262485  89357  1.34004e+07  1.34898e+07
0.0026309  89511.1  1.34239e+07  1.35134e+07
0.00263697  89665.4  1.34474e+07  1.35371e+07
0.00264305  89819.8  1.3471e+07  1.35608e+07
0.00264915  89974.3  1.34945e+07  1.35845e+07
0.00265525  90129  1.35181e+07  1.36082e+07
0.00266138  90283.8  1.35417e+07  1.3632e+07
0.00266751  90438.7  1.35654e+07  1.36558e+07
0.00267366  90593.8  1.3589e+07  1.36796e+07
0.00267983  90749  1.36127e+07  1.37034e+07
0.00268601  90904.3  1.36364e+07  1.37273e+07
0.0026922  91059.8  1.36601e+07  1.37512e+07
0.00269841  91215.3  1.36839e+07  1.37751e+07
0.00270463  91371.1  1.37076e+07  1.3799e+07
0.00271087  91526.9  1.37314e+07  1.3823e+07
0.00271712  91682.9  1.37552e+07  1.38469e+07
0.00272338  91839  1.37791e+07  1.38709e+07
0.00272966  91995.3  1.38029e+07  1.38949e+07
0.00273596  92151.6  1.38268e+07  1.3919e+07
0.00274227  92308.1  1.38507e+07  1.3943e+07
0.00274859  92464.7  1.38746e+07  1.39671e+07
0.00275493  92621.5  1.38986e+07  1.39912e+07
0.00276128  92778.4  1.39226e+07  1.40153e+07
0.00276765  92935.4  1.39466e+07  1.40395e+07
0.00277403  93092.5  1.39706e+07  1.40637e+07
0.00278042  93249.7  1.39946e+07  1.40879e+07
0.00278684  93407.1  1.40187e+07  1.41121e+07
0.00279326  93564.6  1.40428e+07  1.41363e+07
0.0027997  93722.2  1.40669e+07  1.41606e+07
0.00280616  93880  1.4091e+07  1.41849e+07
0.00281263  94037.8  1.41151e+07  1.42092e+07
0.00281911  94195.8  1.41393e+07  1.42335e+07
0.00282561  94353.9  1.41635e+07  1.42578e+07
0.00283213  94512.1  1.41877e+07  1.42822e+07
0.00283866  94670.5  1.42119e+07  1.43066e+07
0.0028452  94828.9  1.42362e+07  1.4331e+07
0.00285177  94987.5  1.42605e+07  1.43554e+07
0.00285834  95146.2  1.42848e+07  1.43799e+07
0.00286493  95305  1.43091e+07  1.44044e+07
0.00287154  95464  1.43334e+07  1.44289e+07
0.00287816  95623  1.43578e+07  1.44534e+07
0.0028848  95782.1  1.43822e+07  1.44779e+07
0.00289145  95941.4  1.44066e+07  1.45025e+07
0.00289811  96100.8  1.4431e+07  1.45271e+07
0.0029048  96260.3  1.44554e+07  1.45517e+07
0.00291149  96419.9  1.44799e+07  1.45763e+07
0.00291821  96579.6  1.45044e+07  1.46009e+07
0.00292494  96739.5  1.45289e+07  1.46256e+07
0.00293168  96899.4  1.45534e+07  1.46503e+07
0.00293844  97059.5  1.45779e+07  1.4675e+07
0.00294522  97219.6  1.46025e+07  1.46997e+07
0.00295201  97379.9  1.46271e+07  1.47245e+07
0.00295881  97540.3  1.46517e+07  1.47492e+07
0.00296564  97700.7  1.46763e+07  1.4774e+07
0.00297248  97861.3  1.4701e+07  1.47988e+07
0.00297933  98022  1.47256e+07  1.48236e+07
0.0029862  98182.8  1.47503e+07  1.48485e+07
0.00299308  98343.7  1.4775e+07  1.48734e+07
0.00299999  98504.7  1.47997e+07  1.48982e+07
0.0030069  98665.8  1.48245e+07  1.49231e+07
0.00301384  98827  1.48492e+07  1.49481e+07
0.00302079  98988.4  1.4874e+07  1.4973e+07
0.00302775  99149.8  1.48988e+07  1.4998e+07
0.00303473  99311.3  1.49236e+07  1.5023e+07
0.00304173  99472.9  1.49485e+07  1.5048e+07
0.00304874  99634.6  1.49733e+07  1.5073e+07
0.00305577  99796.4  1.49982e+07  1.5098e+07
0.00306282  99958.3  1.50231e+07  1.51231e+07
0.00306988  100120  1.5048e+07  1.51482e+07
0.00307696  100282  1.5073e+07  1.51732e+07
0.00308406  100445  1.50979e+07  1.51984e+07
0.00309117  100607  1.51229e+07  1.52235e+07
0.0030983  100769  1.51479e+07  1.52486e+07
0.00310544  100932  1.51729e+07  1.52738e+07
0.0031126  101094  1.51979e+07  1.5299e+07
0.00311978  101257  1.5223e+07  1.53242e+07
0.00312697  101420  1.5248e+07  1.53494e+07
0.00313418  101583  1.52731e+07  1.53747e+07
0.00314141  101745  1.52982e+07  1.53999e+07
0.00314865  101908  1.53233e+07  1.54252e+07
0.00315591  102072  1.53484e+07  1.54505e+07
0.00316319  102235  1.53736e+07  1.54758e+07
0.00317048  102398  1.53988e+07  1.55012e+07
0.00317779  102561  1.54239e+07  1.55265e+07
0.00318512  102725  1.54491e+07  1.55519e+07
0.00319246  102888  1.54744e+07  1.55773e+07
0.00319983  103052  1.54996e+07  1.56027e+07
0.0032072  103216  1.55249e+07  1.56281e+07
0.0032146  103379  1.55501e+07  1.56535e+07
0.00322201  103543  1.55754e+07  1.5679e+07
0.00322944  103707  1.56007e+07  1.57044e+07
0.00323689  103871  1.5626e+07  1.57299e+07
0.00324435  104035  1.56514e+07  1.57554e+07
0.00325183  104200  1.56767e+07  1.57809e+07
0.00325933  104364  1.57021e+07  1.58065e+07
0.00326685  104528  1.57275e+07  1.5832e+07
0.00327438  104692  1.57529e+07  1.58576e+07
0.00328193  104857  1.57783e+07  1.58832e+07
0.0032895  105022  1.58038e+07  1.59088e+07
0.00329708  105186  1.58292e+07  1.59344e+07
0.00330468  105351  1.58547e+07  1.596e+07
0.0033123  105516  1.58802e+07  1.59857e+07
0.00331994  105680  1.59057e+07  1.60113e+07
0.0033276  105845  1.59312e+07  1.6037e+07
