# k[h/Mpc]   P(k)[(Mpc/h)^3]
0.00168289   9.3525e+06
0.00168677   9.37084e+06
0.00169066   9.38921e+06
0.00169456   9.4076e+06
0.00169847   9.42603e+06
0.00170238   9.44448e+06
0.00170631   9.46296e+06
0.00171024   9.48147e+06
0.00171419   9.5e+06
0.00171814   9.51857e+06
0.0017221   9.53716e+06
0.00172607   9.55578e+06
0.00173005   9.57443e+06
0.00173404   9.59311e+06
0.00173804   9.61181e+06
0.00174205   9.63054e+06
0.00174607   9.6493e+06
0.00175009   9.66809e+06
0.00175413   9.68691e+06
0.00175817   9.70575e+06
0.00176223   9.72462e+06
0.00176629   9.74353e+06
0.00177036   9.76245e+06
0.00177444   9.78141e+06
0.00177854   9.80039e+06
0.00178264   9.81941e+06
0.00178675   9.83845e+06
0.00179087   9.85752e+06
0.001795   9.87661e+06
0.00179914   9.89574e+06
0.00180328   9.91489e+06
0.00180744   9.93407e+06
0.00181161   9.95328e+06
0.00181579   9.97252e+06
0.00181997   9.99178e+06
0.00182417   1.00111e+07
0.00182838   1.00304e+07
0.00183259   1.00497e+07
0.00183682   1.00691e+07
0.00184105   1.00885e+07
0.0018453   1.0108e+07
0.00184955   1.01274e+07
0.00185382   1.01469e+07
0.00185809   1.01664e+07
0.00186238   1.0186e+07
0.00186667   1.02055e+07
0.00187098   1.02251e+07
0.00187529   1.02448e+07
0.00187961   1.02644e+07
0.00188395   1.02841e+07
0.00188829   1.03038e+07
0.00189265   1.03236e+07
0.00189701   1.03433e+07
0.00190138   1.03631e+07
0.00190577   1.03829e+07
0.00191016   1.04028e+07
0.00191457   1.04227e+07
0.00191898   1.04426e+07
0.00192341   1.04625e+07
0.00192784   1.04825e+07
0.00193229   1.05025e+07
0.00193674   1.05225e+07
0.00194121   1.05425e+07
0.00194568   1.05626e+07
0.00195017   1.05827e+07
0.00195467   1.06028e+07
0.00195917   1.0623e+07
0.00196369   1.06432e+07
0.00196822   1.06634e+07
0.00197276   1.06836e+07
0.00197731   1.07039e+07
0.00198187   1.07242e+07
0.00198644   1.07445e+07
0.00199102   1.07649e+07
0.00199561   1.07852e+07
0.00200021   1.08056e+07
0.00200482   1.08261e+07
0.00200944   1.08465e+07
0.00201408   1.0867e+07
0.00201872   1.08875e+07
0.00202338   1.09081e+07
0.00202804   1.09287e+07
0.00203272   1.09492e+07
0.0020374   1.09699e+07
0.0020421   1.09905e+07
0.00204681   1.10112e+07
0.00205153   1.10319e+07
0.00205626   1.10527e+07
0.002061   1.10734e+07
0.00206575   1.10942e+07
0.00207052   1.1115e+07
0.00207529   1.11359e+07
0.00208008   1.11567e+07
0.00208487   1.11776e+07
0.00208968   1.11986e+07
0.0020945   1.12195e+07
0.00209933   1.12405e+07
0.00210417   1.12615e+07
0.00210902   1.12825e+07
0.00211388   1.13036e+07
0.00211876   1.13247e+07
0.00212364   1.13458e+07
0.00212854   1.1367e+07
0.00213345   1.13881e+07
0.00213837   1.14093e+07
0.0021433   1.14306e+07
0.00214824   1.14518e+07
0.00215319   1.14731e+07
0.00215816   1.14944e+07
0.00216314   1.15157e+07
0.00216812   1.15371e+07
0.00217312   1.15585e+07
0.00217813   1.15799e+07
0.00218316   1.16013e+07
0.00218819   1.16228e+07
0.00219324   1.16443e+07
0.00219829   1.16658e+07
0.00220336   1.16874e+07
0.00220844   1.17089e+07
0.00221353   1.17305e+07
0.00221864   1.17522e+07
0.00222375   1.17738e+07
0.00222888   1.17955e+07
0.00223402   1.18172e+07
0.00223917   1.18389e+07
0.00224434   1.18607e+07
0.00224951   1.18825e+07
0.0022547   1.19043e+07
0.0022599   1.19261e+07
0.00226511   1.1948e+07
0.00227033   1.19699e+07
0.00227557   1.19918e+07
0.00228081   1.20137e+07
0.00228607   1.20357e+07
0.00229134   1.20577e+07
0.00229663   1.20797e+07
0.00230192   1.21018e+07
0.00230723   1.21239e+07
0.00231255   1.2146e+07
0.00231788   1.21681e+07
0.00232323   1.21902e+07
0.00232858   1.22124e+07
0.00233395   1.22346e+07
0.00233933   1.22569e+07
0.00234473   1.22791e+07
0.00235013   1.23014e+07
0.00235555   1.23237e+07
0.00236099   1.2346e+07
0.00236643   1.23684e+07
0.00237189   1.23908e+07
0.00237735   1.24132e+07
0.00238284   1.24356e+07
0.00238833   1.24581e+07
0.00239384   1.24806e+07
0.00239936   1.25031e+07
0.00240489   1.25256e+07
0.00241044   1.25482e+07
0.00241599   1.25708e+07
0.00242156   1.25934e+07
0.00242715   1.2616e+07
0.00243274   1.26387e+07
0.00243835   1.26614e+07
0.00244398   1.26841e+07
0.00244961   1.27068e+07
0.00245526   1.27296e+07
0.00246092   1.27524e+07
0.0024666   1.27752e+07
0.00247228   1.2798e+07
0.00247798   1.28209e+07
0.0024837   1.28438e+07
0.00248942   1.28667e+07
0.00249517   1.28896e+07
0.00250092   1.29126e+07
0.00250669   1.29356e+07
0.00251247   1.29586e+07
0.00251826   1.29816e+07
0.00252406   1.30047e+07
0.00252988   1.30278e+07
0.00253572   1.30509e+07
0.00254157   1.3074e+07
0.00254743   1.30972e+07
0.0025533   1.31204e+07
0.00255919   1.31436e+07
0.00256509   1.31668e+07
0.002571   1.31901e+07
0.00257693   1.32133e+07
0.00258287   1.32366e+07
0.00258883   1.326e+07
0.0025948   1.32833e+07
0.00260078   1.33067e+07
0.00260678   1.33301e+07
0.00261279   1.33535e+07
0.00261881   1.3377e+07
0.00262485   1.34004e+07
0.0026309   1.34239e+07
0.00263697   1.34474e+07
0.00264305   1.3471e+07
0.00264915   1.34945e+07
0.00265525   1.35181e+07
0.00266138   1.35417e+07
0.00266751   1.35654e+07
0.00267366   1.3589e+07
0.00267983   1.36127e+07
0.00268601   1.36364e+07
0.0026922   1.36601e+07
0.00269841   1.36839e+07
0.00270463   1.37076e+07
0.00271087   1.37314e+07
0.00271712   1.37552e+07
0.00272338   1.37791e+07
0.00272966   1.38029e+07
0.00273596   1.38268e+07
0.00274227   1.38507e+07
0.00274859   1.38746e+07
0.00275493   1.38986e+07
0.00276128   1.39226e+07
0.00276765   1.39466e+07
0.00277403   1.39706e+07
0.00278042   1.39946e+07
0.00278684   1.40187e+07
0.00279326   1.40428e+07
0.0027997   1.40669e+07
0.00280616   1.4091e+07
0.00281263   1.41151e+07
0.00281911   1.41393e+07
0.00282561   1.41635e+07
0.00283213   1.41877e+07
0.00283866   1.42119e+07
0.0028452   1.42362e+07
0.00285177   1.42605e+07
0.00285834   1.42848e+07
0.00286493   1.43091e+07
0.00287154   1.43334e+07
0.00287816   1.43578e+07
0.0028848   1.43822e+07
0.00289145   1.44066e+07
0.00289811   1.4431e+07
0.0029048   1.44554e+07
0.00291149   1.44799e+07
0.00291821   1.45044e+07
0.00292494   1.45289e+07
0.00293168   1.45534e+07
0.00293844   1.45779e+07
0.00294522   1.46025e+07
0.00295201   1.46271e+07
0.00295881   1.46517e+07
0.00296564   1.46763e+07
0.00297248   1.4701e+07
0.00297933   1.47256e+07
0.0029862   1.47503e+07
0.00299308   1.4775e+07
0.00299999   1.47997e+07
0.0030069   1.48245e+07
0.00301384   1.48492e+07
0.00302079   1.4874e+07
0.00302775   1.48988e+07
0.00303473   1.49236e+07
0.00304173   1.49485e+07
0.00304874   1.49733e+07
0.00305577   1.49982e+07
0.00306282   1.50231e+07
0.00306988   1.5048e+07
0.00307696   1.5073e+07
0.00308406   1.50979e+07
0.00309117   1.51229e+07
0.0030983   1.51479e+07
0.00310544   1.51729e+07
0.0031126   1.51979e+07
0.00311978   1.5223e+07
0.00312697   1.5248e+07
0.00313418   1.52731e+07
0.00314141   1.52982e+07
0.00314865   1.53233e+07
0.00315591   1.53484e+07
0.00316319   1.53736e+07
0.00317048   1.53988e+07
0.00317779   1.54239e+07
0.00318512   1.54491e+07
0.00319246   1.54744e+07
0.00319983   1.54996e+07
0.0032072   1.55249e+07
0.0032146   1.55501e+07
0.00322201   1.55754e+07
0.00322944   1.56007e+07
0.00323689   1.5626e+07
0.00324435   1.56514e+07
0.00325183   1.56767e+07
0.00325933   1.57021e+07
0.00326685   1.57275e+07
0.00327438   1.57529e+07
0.00328193   1.57783e+07
0.0032895   1.58038e+07
0.00329708   1.58292e+07
0.00330468   1.58547e+07
0.0033123   1.58802e+07
0.00331994   1.59057e+07
0.0033276   1.59312e+07
0.00333527   1.59567e+07
0.00334296   1.59822e+07
0.00335067   1.60078e+07
0.00335839   1.60334e+07
0.00336614   1.6059e+07
0.0033739   1.60846e+07
0.00338168   1.61102e+07
0.00338948   1.61358e+07
0.00339729   1.61615e+07
0.00340512   1.61871e+07
0.00341298   1.62128e+07
0.00342085   1.62385e+07
0.00342873   1.62642e+07
0.00343664   1.62899e+07
0.00344456   1.63157e+07
0.00345251   1.63414e+07
0.00346047   1.63672e+07
0.00346845   1.63929e+07
0.00347644   1.64187e+07
0.00348446   1.64445e+07
0.00349249   1.64703e+07
0.00350055   1.64962e+07
0.00350862   1.6522e+07
0.00351671   1.65479e+07
0.00352482   1.65737e+07
0.00353295   1.65996e+07
0.00354109   1.66255e+07
0.00354926   1.66514e+07
0.00355744   1.66773e+07
0.00356564   1.67032e+07
0.00357387   1.67292e+07
0.00358211   1.67551e+07
0.00359037   1.67811e+07
0.00359865   1.68071e+07
0.00360694   1.68331e+07
0.00361526   1.68591e+07
0.0036236   1.68851e+07
0.00363195   1.69111e+07
0.00364033   1.69371e+07
0.00364872   1.69632e+07
0.00365713   1.69892e+07
0.00366557   1.70153e+07
0.00367402   1.70414e+07
0.00368249   1.70674e+07
0.00369098   1.70935e+07
0.00369949   1.71197e+07
0.00370802   1.71458e+07
0.00371657   1.71719e+07
0.00372514   1.7198e+07
0.00373373   1.72242e+07
0.00374234   1.72503e+07
0.00375097   1.72765e+07
0.00375962   1.73027e+07
0.00376829   1.73289e+07
0.00377698   1.73551e+07
0.00378569   1.73813e+07
0.00379441   1.74075e+07
0.00380316   1.74337e+07
0.00381193   1.74599e+07
0.00382072   1.74862e+07
0.00382953   1.75124e+07
0.00383836   1.75387e+07
0.00384721   1.75649e+07
0.00385608   1.75912e+07
0.00386498   1.76175e+07
0.00387389   1.76438e+07
0.00388282   1.767e+07
0.00389177   1.76963e+07
0.00390075   1.77227e+07
0.00390974   1.7749e+07
0.00391876   1.77753e+07
0.00392779   1.78016e+07
0.00393685   1.7828e+07
0.00394593   1.78543e+07
0.00395503   1.78806e+07
0.00396415   1.7907e+07
0.00397329   1.79334e+07
0.00398245   1.79597e+07
0.00399163   1.79861e+07
0.00400083   1.80125e+07
0.00401006   1.80389e+07
0.00401931   1.80653e+07
0.00402857   1.80916e+07
0.00403786   1.8118e+07
0.00404717   1.81445e+07
0.00405651   1.81709e+07
0.00406586   1.81973e+07
0.00407523   1.82237e+07
0.00408463   1.82501e+07
0.00409405   1.82766e+07
0.00410349   1.8303e+07
0.00411295   1.83294e+07
0.00412243   1.83559e+07
0.00413194   1.83823e+07
0.00414147   1.84088e+07
0.00415102   1.84352e+07
0.00416059   1.84617e+07
0.00417018   1.84881e+07
0.0041798   1.85146e+07
0.00418944   1.8541e+07
0.0041991   1.85675e+07
0.00420878   1.8594e+07
0.00421848   1.86205e+07
0.00422821   1.86469e+07
0.00423796   1.86734e+07
0.00424773   1.86999e+07
0.00425753   1.87264e+07
0.00426734   1.87528e+07
0.00427718   1.87793e+07
0.00428704   1.88058e+07
0.00429693   1.88323e+07
0.00430684   1.88588e+07
0.00431677   1.88853e+07
0.00432672   1.89118e+07
0.0043367   1.89382e+07
0.0043467   1.89647e+07
0.00435672   1.89912e+07
0.00436677   1.90177e+07
0.00437684   1.90442e+07
0.00438693   1.90707e+07
0.00439704   1.90972e+07
0.00440718   1.91237e+07
0.00441734   1.91502e+07
0.00442753   1.91766e+07
0.00443774   1.92031e+07
0.00444797   1.92296e+07
0.00445823   1.92561e+07
0.00446851   1.92826e+07
0.00447881   1.93091e+07
0.00448914   1.93355e+07
0.00449949   1.9362e+07
0.00450986   1.93885e+07
0.00452026   1.94149e+07
0.00453069   1.94414e+07
0.00454113   1.94679e+07
0.0045516   1.94943e+07
0.0045621   1.95208e+07
0.00457262   1.95473e+07
0.00458316   1.95737e+07
0.00459373   1.96002e+07
0.00460432   1.96266e+07
0.00461494   1.9653e+07
0.00462558   1.96795e+07
0.00463625   1.97059e+07
0.00464694   1.97323e+07
0.00465765   1.97588e+07
0.00466839   1.97852e+07
0.00467916   1.98116e+07
0.00468995   1.9838e+07
0.00470076   1.98644e+07
0.0047116   1.98908e+07
0.00472246   1.99172e+07
0.00473335   1.99436e+07
0.00474427   1.997e+07
0.00475521   1.99964e+07
0.00476617   2.00227e+07
0.00477716   2.00491e+07
0.00478818   2.00754e+07
0.00479922   2.01018e+07
0.00481028   2.01281e+07
0.00482137   2.01545e+07
0.00483249   2.01808e+07
0.00484363   2.02071e+07
0.0048548   2.02334e+07
0.004866   2.02597e+07
0.00487722   2.0286e+07
0.00488846   2.03123e+07
0.00489973   2.03386e+07
0.00491103   2.03649e+07
0.00492236   2.03911e+07
0.00493371   2.04174e+07
0.00494508   2.04436e+07
0.00495648   2.04699e+07
0.00496791   2.04961e+07
0.00497937   2.05223e+07
0.00499085   2.05485e+07
0.00500236   2.05747e+07
0.00501389   2.06009e+07
0.00502545   2.06271e+07
0.00503704   2.06532e+07
0.00504866   2.06794e+07
0.0050603   2.07055e+07
0.00507197   2.07317e+07
0.00508366   2.07578e+07
0.00509538   2.07839e+07
0.00510713   2.081e+07
0.00511891   2.08361e+07
0.00513071   2.08621e+07
0.00514254   2.08882e+07
0.0051544   2.09142e+07
0.00516628   2.09403e+07
0.0051782   2.09663e+07
0.00519014   2.09923e+07
0.0052021   2.10183e+07
0.0052141   2.10443e+07
0.00522612   2.10702e+07
0.00523817   2.10962e+07
0.00525025   2.11221e+07
0.00526236   2.11481e+07
0.00527449   2.1174e+07
0.00528665   2.11999e+07
0.00529884   2.12257e+07
0.00531106   2.12516e+07
0.00532331   2.12775e+07
0.00533558   2.13033e+07
0.00534788   2.13291e+07
0.00536022   2.13549e+07
0.00537258   2.13807e+07
0.00538496   2.14065e+07
0.00539738   2.14322e+07
0.00540983   2.1458e+07
0.0054223   2.14837e+07
0.0054348   2.15094e+07
0.00544733   2.15351e+07
0.0054599   2.15607e+07
0.00547248   2.15864e+07
0.0054851   2.1612e+07
0.00549775   2.16376e+07
0.00551043   2.16632e+07
0.00552313   2.16888e+07
0.00553587   2.17144e+07
0.00554863   2.17399e+07
0.00556143   2.17654e+07
0.00557425   2.17909e+07
0.0055871   2.18164e+07
0.00559999   2.18419e+07
0.0056129   2.18673e+07
0.00562584   2.18927e+07
0.00563881   2.19181e+07
0.00565182   2.19435e+07
0.00566485   2.19689e+07
0.00567791   2.19942e+07
0.005691   2.20195e+07
0.00570413   2.20448e+07
0.00571728   2.20701e+07
0.00573046   2.20954e+07
0.00574367   2.21206e+07
0.00575692   2.21458e+07
0.00577019   2.2171e+07
0.0057835   2.21962e+07
