# r[Mpc/h]   xi(r)
82.7538   1.21863
83.003   1.19903
83.2523   1.17972
83.5015   1.16069
83.7508   1.14194
84   1.12346
84.2492   1.10526
84.4985   1.08731
84.7477   1.06963
84.997   1.0522
85.2462   1.03503
85.4955   1.01811
85.7447   1.00143
85.994   0.984993
86.2432   0.968794
86.4925   0.952828
86.7417   0.937094
86.991   0.921585
87.2402   0.906301
87.4895   0.891236
87.7387   0.876388
87.988   0.861753
88.2372   0.847328
88.4865   0.833111
88.7357   0.819097
88.985   0.805284
89.2342   0.791669
89.4835   0.778248
89.7327   0.76502
89.982   0.751981
90.2312   0.739129
90.4805   0.72646
90.7297   0.713972
90.979   0.701663
91.2282   0.689529
91.4775   0.677568
91.7267   0.665778
91.976   0.654155
92.2252   0.642698
92.4745   0.631405
92.7237   0.620271
92.973   0.609296
93.2222   0.598477
93.4715   0.587811
93.7207   0.577297
93.97   0.566931
94.2192   0.556712
94.4685   0.546638
94.7177   0.536706
94.967   0.526915
95.2162   0.517263
95.4655   0.507747
95.7147   0.498365
95.964   0.489116
96.2132   0.479998
96.4625   0.471008
96.7117   0.462146
96.961   0.453409
97.2102   0.444795
97.4595   0.436303
97.7087   0.427931
97.958   0.419677
98.2072   0.411539
98.4565   0.403517
98.7057   0.395607
98.955   0.387809
99.2042   0.380121
99.4535   0.372541
99.7027   0.365068
99.952   0.3577
100.201   0.350436
100.45   0.343274
100.7   0.336212
100.949   0.32925
101.198   0.322386
101.447   0.315619
101.697   0.308946
101.946   0.302368
102.195   0.295882
102.444   0.289487
102.694   0.283183
102.943   0.276967
103.192   0.270839
103.441   0.264797
103.691   0.25884
103.94   0.252967
104.189   0.247178
104.438   0.241469
104.688   0.235841
104.937   0.230293
105.186   0.224823
105.435   0.21943
105.685   0.214112
105.934   0.20887
106.183   0.203702
106.432   0.198606
106.682   0.193583
106.931   0.18863
107.18   0.183746
107.429   0.178933
107.679   0.174186
107.928   0.169507
108.177   0.164894
108.426   0.160346
108.676   0.155863
108.925   0.151443
109.174   0.147085
109.423   0.14279
109.673   0.138555
109.922   0.134381
110.171   0.130265
110.42   0.126209
110.67   0.12221
110.919   0.118267
111.168   0.114381
111.417   0.110551
111.667   0.106774
111.916   0.103052
112.165   0.0993826
112.414   0.0957657
112.664   0.0922001
112.913   0.0886855
113.162   0.0852212
113.411   0.0818062
113.661   0.0784403
113.91   0.0751223
114.159   0.071852
114.408   0.0686287
114.658   0.0654514
114.907   0.0623201
115.156   0.0592337
115.405   0.0561918
115.655   0.0531939
115.904   0.0502391
116.153   0.0473274
116.402   0.0444576
116.652   0.0416295
116.901   0.0388426
117.15   0.0360958
117.399   0.0333893
117.649   0.030722
117.898   0.0280936
118.147   0.0255037
118.396   0.0229512
118.646   0.0204363
118.895   0.017958
119.144   0.015516
119.393   0.0131099
119.643   0.0107389
119.892   0.0084029
120.141   0.0061012
120.39   0.00383334
120.64   0.00159919
120.889   -0.000602192
121.138   -0.00277072
121.387   -0.00490714
121.637   -0.00701187
121.886   -0.00908499
122.135   -0.0111274
122.384   -0.0131391
122.634   -0.0151207
122.883   -0.0170726
123.132   -0.0189949
123.381   -0.0208886
123.631   -0.0227534
123.88   -0.0245901
124.129   -0.0263992
124.378   -0.0281805
124.628   -0.0299351
124.877   -0.0316628
125.126   -0.0333642
125.375   -0.0350398
125.625   -0.0366895
125.874   -0.0383142
126.123   -0.0399138
126.372   -0.0414887
126.622   -0.0430395
126.871   -0.0445661
127.12   -0.0460692
127.369   -0.0475488
127.619   -0.0490052
127.868   -0.0504391
128.117   -0.0518501
128.366   -0.0532392
128.616   -0.0546063
128.865   -0.0559517
129.114   -0.0572759
129.363   -0.0585787
129.613   -0.059861
129.862   -0.0611227
130.111   -0.0623641
130.36   -0.0635857
130.61   -0.0647873
130.859   -0.0659698
131.108   -0.067133
131.357   -0.0682772
131.607   -0.069403
131.856   -0.0705101
132.105   -0.0715992
132.354   -0.0726704
132.604   -0.0737237
132.853   -0.0747599
133.102   -0.0757785
133.351   -0.0767803
133.601   -0.0777653
133.85   -0.0787335
134.099   -0.0796856
134.348   -0.0806213
134.598   -0.0815411
134.847   -0.0824452
135.096   -0.0833336
135.345   -0.0842069
